matchId,blueTeamDragonKills,blueTeamFirstBlood,redTeamDragonKills,blueTeamControlWardsPlaced_diff,blueTeamWardsPlaced_diff,blueTeamTotalKills_diff,blueTeamHeraldKills_diff,blueTeamTowersDestroyed_diff,blueTeamInhibitorsDestroyed_diff,blueTeamTurretPlatesDestroyed_diff,blueTeamMinionsKilled_diff,blueTeamJungleMinions_diff,blueTeamTotalGold_diff,blueTeamXp_diff,blueTeamTotalDamageToChamps_diff,blueWin
EUW1_6876300442,0,0,2,-1,65,0,1,-3,0,-11,-70,-51,-4086,-4175,-9121,0
EUW1_6875705352,0,0,2,-1,27,-17,0,-2,0,-9,6,-41,-6290,-5386,-14567,0
EUW1_6875637409,0,0,2,-2,-13,-8,-1,-1,0,-8,-37,12,-5514,-2944,2099,0
EUW1_6875069308,0,0,1,1,7,5,0,-2,0,-8,61,31,3507,3216,1549,1
EUW1_6872310262,1,0,1,3,-39,3,0,-1,0,-7,-53,1,-21,1830,-5306,0
EUW1_6879686047,2,1,0,1,-15,6,0,0,0,-7,0,5,2098,45,7247,1
EUW1_6879662699,0,1,1,0,-11,11,0,-1,0,-6,25,21,6329,6304,902,1
EUW1_6879606314,0,1,2,-1,4,5,1,1,0,-4,-26,8,3630,1560,7339,1
EUW1_6879149114,0,0,2,-2,1,-14,0,-3,0,-14,-43,-19,-8653,-5008,248,0
EUW1_6879116544,0,1,1,1,-10,-1,0,-2,0,-9,37,-10,559,-1076,9915,0
EUW1_6879024760,0,1,1,2,-3,-8,0,-2,0,-3,-35,12,-4530,-3428,-8660,1
EUW1_6878953795,0,1,1,2,4,1,1,-1,0,-8,-53,4,-1094,-1700,1654,1
EUW1_6878908604,1,0,1,0,-12,-11,0,0,0,-7,-28,15,-3808,-1197,-157,0
EUW1_6878267214,0,0,2,0,-2,-5,0,-2,0,-8,-6,35,995,1582,-2155,1
EUW1_6878227025,1,0,0,3,4,6,1,2,0,-2,2,33,5077,5125,9470,1
EUW1_6878177090,1,0,1,-5,-9,-9,0,1,0,-7,-12,-5,-3496,-682,-7707,0
EUW1_6871481420,0,1,2,-3,-8,0,0,0,0,7,79,12,3827,1075,-1933,1
EUW1_6871462684,0,0,0,-2,-6,-22,0,-5,0,-18,-119,-11,-11570,-7628,-15631,0
EUW1_6867573442,2,1,0,-1,-9,-2,0,-1,0,-17,-61,-9,-3537,-1752,590,0
EUW1_6867555596,1,0,0,-3,-10,1,0,-4,0,-6,8,17,2551,1516,4921,1
EUW1_6867522870,1,1,0,4,3,5,0,-1,0,-4,17,-16,1049,-241,8015,1
EUW1_6867485482,0,0,1,3,0,3,0,-1,0,-8,-21,-41,-939,-376,8134,1
EUW1_6867300435,0,1,1,0,-4,-3,0,-1,0,-11,11,22,588,14,3956,0
EUW1_6867207557,0,0,1,-3,-8,-10,0,0,0,-5,71,10,167,724,2433,1
EUW1_6866957189,0,0,1,5,-12,1,-1,1,0,-7,0,1,760,1699,4554,1
EUW1_6883769315,1,0,1,-4,-2,-5,0,-1,0,-8,-19,18,-3039,-2558,-7714,0
EUW1_6882599797,0,0,1,0,-6,-4,0,-1,0,-8,-2,36,-2119,-435,-5933,0
EUW1_6882570789,0,1,2,8,18,2,0,-1,0,-11,-18,-32,-1096,-679,713,0
EUW1_6879295693,0,1,2,-2,-11,2,-1,2,0,3,4,-9,4857,-186,7317,1
EUW1_6879279810,0,0,1,-2,5,-10,-1,-1,0,-7,-31,-17,-4661,-4160,-6041,0
EUW1_6874761573,0,1,2,-1,-5,1,0,-2,0,-10,-8,-12,-1496,357,-548,0
