matchId,blueTeamControlWardsPlaced_diff,blueTeamWardsPlaced_diff,blueTeamTotalKills_diff,blueTeamDragonKills_diff,blueTeamHeraldKills_diff,blueTeamTowersDestroyed_diff,blueTeamInhibitorsDestroyed_diff,blueTeamTurretPlatesDestroyed_diff,blueTeamFirstBlood_diff,blueTeamMinionsKilled_diff,blueTeamJungleMinions_diff,blueTeamTotalGold_diff,blueTeamXp_diff,blueWin
EUN1_3575087754,-2,-34,13,-1,1,0,0,-7,-337,288,-24804,5051,3387,1
EUN1_3574506484,2,0,-9,2,0,-2,0,12,-363,302,-31136,-2669,-9235,0
EUN1_3573360848,2,-22,8,1,1,-2,0,7,-344,254,-28107,1958,-917,0
EUN1_3573337472,2,4,-7,-1,0,0,0,5,-347,266,-27519,-5267,-11170,0
EUN1_3573295788,1,9,3,1,0,0,0,-4,-324,266,-28297,-197,-1247,0
EUN1_3569526463,5,3,23,0,0,0,0,-1,-325,268,-25079,5364,149,1
EUN1_3569510093,-1,-4,-1,-1,0,-1,0,2,-337,254,-28008,999,-6138,0
EUN1_3569498215,3,1,6,1,0,1,0,9,-301,265,-27625,5244,4411,1
EUN1_3569483379,0,7,-5,-1,1,0,0,6,-342,266,-31210,1022,-11367,0
EUN1_3569255627,1,-4,-2,-2,0,0,0,7,-338,267,-28485,3099,-4535,0
EUN1_3569219060,-1,10,-9,0,1,-1,0,11,-339,220,-33625,-6243,-6501,0
EUN1_3568526916,0,2,-4,0,0,1,0,-3,-333,232,-29817,-1210,-6746,0
EUN1_3568506928,-2,-5,-1,-2,0,1,0,7,-276,301,-28917,3602,-7630,1
EUN1_3568498650,-1,5,-10,-2,-1,-1,0,4,-384,222,-32492,-6764,-12904,0
EUN1_3568199618,1,3,7,2,1,0,0,12,-383,249,-28002,-561,7485,1
EUN1_3568177459,0,-5,0,0,0,-3,0,8,-379,265,-30891,-1595,-7986,1
EUN1_3568150790,3,8,-4,0,0,-1,0,8,-338,228,-26914,-7088,-920,1
EUN1_3568144116,0,-9,-6,1,0,-1,0,10,-362,241,-29102,-8280,-1786,0
EUN1_3568119609,2,5,4,1,0,0,0,5,-325,302,-25416,633,-1958,1
EUN1_3568110091,3,108,-5,-1,0,-2,0,12,-350,242,-30935,-1903,-6650,0
EUN1_3576149152,0,11,-17,-2,0,-4,0,14,-358,215,-35338,-10294,-18062,0
EUN1_3576121627,-2,9,-12,0,-1,-1,0,5,-341,224,-30965,-8357,-6560,0
EUN1_3575639088,0,-7,1,-2,0,-1,0,6,-357,245,-25099,-5744,1674,0
EUN1_3575616403,0,1,-11,-2,0,-2,0,6,-373,229,-32807,-4390,-13778,0
EUN1_3575526718,1,-5,-1,1,0,-2,0,7,-302,263,-27521,1609,-8996,1
EUN1_3574750166,4,-1,0,0,0,-2,0,-1,-336,253,-28308,1138,-2203,1
EUN1_3574720995,0,12,18,1,0,3,0,6,-283,280,-26808,9101,-11664,1
EUN1_3574711885,-1,8,7,0,0,2,0,1,-337,311,-25635,4400,-1382,1
EUN1_3573996008,-2,11,1,-2,0,1,0,-1,-358,301,-24652,-775,168,1
